no,code,active,city,country,latitude,locationCode,locationName,longitude,postCode,state,street1,street2,street3,street4,street5
14,CC010014,true,,,-6.29258007276803,6389797329305600-4945255946256384,PT. Mega Power Teknindo,106.816851636395,,,Jl. TB Simatupang,,,,
15,CC010015,true,,,-6.22437473987806,4541729172619264-6687975870038016,PT Bina Sarana Mekar,106.613656621172,,,Jl. Imam Bonjol,,,,
16,CC010016,true,,,-6.89859833333333,5750501782061056-5635220564869120,PT. Rizky Daya Cipta,107.619831666667,,,Jl. Japati,,,,
17,CC010017,true,,,-6.94268423,4921699258597376-6283449778307072,PT. Tagamon Artha Selaras,107.6896623,,,Jl. Gedebage,,,,
18,CC010018,true,,,-6.6408386,5354843354955776-6151540461010944,PT. Abipraya,108.0385635,,,Cikamurang,,,,
19,CC010019,true,,,-6.69981545,5123639896702976-5144582157238272,Proyek Asrama Polri,108.55338751,,,Jl. Slamet Riyadi,,,,
20,CC010020,true,,,-6.2415158841759,5869746650087424-4743846743244800,PT. Wijaya Karya (Persero),106.876141112298,,,Jl. Biru Laut,,,,
21,CC010021,true,,,-6.94127285,5179500811780096-5742450765201408,Summarecon Gedebage,107.69181943,,,Gedebage,,,,
22,CC010022,true,,,-6.1486957298046,4807736529256448-6215111412809728,Apartemen Rusun Jl. Angke,106.798355137423,,,Jl. Jembatan Besi I,,,,
23,CC010023,true,,,-6.91373497842178,5163961854984192-5726911808405504,Dua bersama,107.643018598442,,,Jl. Jakarta,,,,
24,CC010024,true,,,-6.77672071,4994252798951424-6401627682504704,Cirebon Elektrik Power,108.61383084,,,Brebes,,,,
25,CC010025,true,,,-6.91818881314248,4801423799746560-6208798683299840,Bp Rully (Trio Management),107.598141906783,,,Gardujati,,,,
26,CC010026,true,,,-6.85491,5663773708779520-5748014392016896,Pak Diaz,107.49092,,,Kota Baru Parahyangan,,,,
27,CC010027,true,,,-6.1897204585587,5468813801816064-5685314513272832,PT. Indonakano,106.769652217214,,,Kebon Jeruk,,,,
28,CC010028,true,,,-6.16189069580287,5179654256197632-5088867237494784,PT. Cipta Cita Yasa,106.827303953469,,,Jl. Sukarjo Wiryopranoto,,,,
29,CC010029,true,,,-6.16044003982097,5259803177779200-5650323079168000,KSO Citra Prasasti Konsorindo - Trikarsa Adi Guna,106.851192796603,,,Jl. Garuda,,,,
30,CC010030,true,,,-6.16813638713211,5346837032599552-5909786986020864,PT. Total Bangun Persada,106.742917299271,,,Jl. Pulau Tidung X,,,,
31,CC010031,true,,,-6.19771505702032,6606669555433472-5480769648590848,Beton Elemenindo Perkasa,106.761845185985,,,Jl. Meruya Ilir,,,,
32,CC010032,true,Bandung,,-6.92570666666667,6236259496230912-4813110271541248,PT Daleh Mukti,107.605716666667,,,Jl. Sasak Gantung,,,,
33,CC010033,true,,,-6.92321166666667,5382903584260096-6208190140121088,Pak Anton,107.60455,,,Jl. Kepatihan,,,,
34,CC010034,true,,,-6.92030666666667,5845835426299904-6129109994307584,PT Wika Proyek Sarinah,107.609596666667,,,Jl. ABC,,,,
35,CC010035,true,,,-6.18195094499074,4577050144800768-6617743725953024,New Location,106.811195894356,,,Jl. Taman Jatibaru,,,,
36,CC010036,true,Bandung,,-6.90849811,4632696143740928-5284685064175616,Bp. Robby,107.59196082,,,Jl. Arjuna,,,,
37,CC010037,true,,,-6.955075,6211098034307072-5085198127464448,Pak Agustinus Dwipanca,107.562101666667,,,Cigondewah Hilir,,,,
38,CC010038,true,,,-6.1892765108496,5051130916634624-6576677530370048,PT Grahaindo Jaya,106.76554097794,,,Jl. Kedoya Raya,,,,
39,CC010039,true,,,-6.39512272173633,6317169298112512-5191269391269888,Walikota Depok,106.822333631127,,,Jl. Raya Margonda,,,,
40,CC010040,true,Jakarta Barat,,-6.1833524,newjkt-08,PT Adicipta Karya Hernanda,106.799464,,,Jalan Taman Katalia Timur No. 12,Kota Bambu Utara Kecamatan Palmerah,,,
41,CC010041,true,,,-6.25421614386141,5447085327384576-6010035280805888,PT. TCI  Agung Sedayu Grup Harco Mangga 2,106.799397747964,,,Jl. Wijaya II,,,,
42,CC010042,true,,,-6.1935107,4920506750861312-5128666635829248,PT. Prima Damai Mandiri,106.7549788,,,<undefined>,,,,
43,CC010043,true,,,-6.1995407,4781794926788608-6611382275407872,PT. Masvi Wasesa Utama,106.6867942,,,Jakarta,,,,
44,CC010044,true,,,-6.92675616567333,6302927186558976-5159516698050560,Duta Warna,107.568669046862,,,Jl. Bojong Raya,,,,
45,CC010045,true,,,-6.16830153926311,5417170041307136-4919434871308288,PT Jaya Konstruksi dan Adhi Karya,106.916426033175,,,Boulevard Timur,,,,
46,CC010046,true,,,-6.88703201,6286215401701376-6622687434637312,Bp. Ationg,107.58360306,,,Jl. Babakan Jeruk Indah,,,,
47,CC010047,true,,,-6.3768548,5192927449972736-4921513434152960,Dinas Wilayah Umum Tata Ruang,106.8071772,,,Jl. Tanah Baru,,,,
48,CC010048,true,,,-6.55966987833381,6220374660349952-5094474753507328,Edgenta Propel (Ruas Barat),107.78106235899,,,Kapten Hanifah Wesel,,,,
49,CC010049,true,,,-6.90478296484798,4806620710174720-5039236138926080,PT. Sekawan Triasa,107.497495030984,,,Jl. Raya Cimareme,,,,
50,CC010050,true,,,-6.16040785331279,4560201424306176-5707125196062720,KSO Citra Prasati Konsorindo - Trikarsa Adi Guna,106.850893311203,,,Jl. Garuda,,,,
51,CC010051,true,,,-6.18147327871089,4924127324405760-6331502207959040,Dishub DKI,106.811319899924,,,Jl. Taman Jatibaru,,,,
52,CC010052,true,,,-6.1977999,5776090257686528-6198302722752512,New Location,106.7616222,,,Jl. Meruya Ilir,,,,
53,CC010053,true,,,-6.22515038587153,4747090181750784-6576677530370048,PT. Stylish Jayamas Persada,106.659609898925,,,Jl. Jalan Jalur Sutera,,,,
54,CC010054,true,,,-6.19272505781961,5083956546371584-5708573640228864,PT Multi Tarex Mulia,106.823672359239,,,Jl. M.H. Thamrin,,,,
55,CC010055,true,,,-6.93552666666667,5079280467836928-5174276554489856,PT Mahkota,107.772601666667,,,Jl. Sayang,,,,
56,CC010056,true,,,-6.94137,4663470658158592-6477188102619136,Pak Thomas,107.630271666667,,,Jl. Kliningan,,,,
57,CC010057,true,,,-6.43954473686145,5276541000876032-5839490954297344,UPT 3 Pendidikan Tapos,106.861027239405,,,Jl. Cilangkap,,,,
58,CC010058,true,,,-6.22369981370866,5723208305082368-6490423681875968,PT. Pilar Cadas Putra,106.813389658928,,,SCBD Westway,,,,
59,CC010059,true,,,-6.5658213570714,5773193637789696-4743846743244800,CV. Berkah Mandiri,107.433813018724,,,Jl. Raya Bandung - Purwakarta,,,,
60,CC010060,true,,,-6.2396467,6616543819464704-6335068842754048,Kementrian Agraria Tata Ruang Kota,106.7995865,,,Jl. Trunojoyo,,,,
61,CC010061,true,,,-6.95087063,6193847902142464-5397717731770368,Proyek Danau Resapan Gedebage,107.7059565,,,Jl. Rancanumpang,,,,
62,CC010062,true,,,-6.23680967528658,5161872890265600-5724822843686912,Biro Umum, PU,106.7996525286,,,Jl. Raden Patah,,,
63,CC010063,true,,,-6.2424179,5391116769689600-5696381570252800,PT. Nusa Raya Cipta,106.876358,,,Jl. Biru Laut,,,,
64,CC010064,true,,,-6.17687833495438,5466930391547904-5635258749812736,PT. Total Bangun Persada,106.794762304053,,,Jl. Gelong Baru Barat,,,,
65,CC010065,true,,,-6.19223733432591,5804809764470784-5718607623356416,PT. Alpha Prime Creation,106.739037986845,,,Jl. Batu Mulia,,,,
66,CC010066,true,,,-6.68401151429862,6310500858068992-5184600951226368,PT. Bumi Cakrawala Infrastruktur,107.557783881202,,,Wanayasa,,,,
67,CC010067,true,,,-7.2019569715485,4761823328862208-6591410677481472,PT. Articon Indonesia,107.885357458144,,,Jl. Patriot,,,,
68,CC010068,true,,,-6.22515721712841,6039227569537024-4913327662694400,Jo Shimizu Total Proyek Daswin,106.83464448909,,,Jl. Epicentrum Selatan,,,,
69,CC010069,true,,,-6.97277307,4647887577284608-6424795004534784,PT. Puspita,108.48552364,,,Jl. Siliwangi,,,,
70,CC010070,true,Bandung,,-6.92561833333333,6244047077244928-5093824770605056,Bp. Kristian M. -6.92478,107.632563333333,107.632811666667,,,Jl. 17 Agustus,,,
71,CC010071,true,,,-6.22438795083169,5920298784260096-4794398877417472,Shimizu Total Joint Operation,106.83476295098,,,Jl. Achmad Bakrie Timur,,,,
72,CC010072,true,,,-6.52098802152503,6636417673330688-5510517766488064,PT Berkah Anugerah Alam,106.854251040703,,,Sentul,,,,
73,CC010073,true,,,-6.87234666666667,6471097033687040-6066313545908224,Drg Rosi,107.594776666667,,,Jl. Dr. Setiabudi,,,,
74,CC010074,true,,,-6.29112363327295,6476867154477056-5913917201055744,Jasa Marga,106.880520153791,,,Jl. Taman Mini I,,,,
75,CC010075,true,,,-6.91185930278152,6651634574688256-5525734667845632,PT Total Cakra Alam,107.654278278351,,,Jl. Terusan Jakarta,,,,
76,CC010076,true,,,-6.88574833333333,5785272226676736-5268673560313856,Pak Fauzan,107.62433,,,Jl. Cibeunying Kolot,,,,
77,CC010077,true,,,-6.90891239,5182832095789056-5745782049210368,PT. Dario Megah Makmur,107.59250288,,,Jl. Kresna,,,,
78,CC010078,true,,,-6.1766792,6435288482054144-5309388575211520,PT.  Jaga Citra Inti,106.8013119,,,Jl. Tomang Raya,,,,
79,CC010079,true,Bandung,,-6.93737004,5162252189564928-4858703228436480,Bp. Luki,107.59969343,,,Jl. Peta,,,,
80,CC010080,true,,,-6.18473859038204,5123537908006912-5148150218096640,Pt. yaowei construction indonesia -6.184696261771023,106.73592293635,106.735311895609,,,<undefined>,,,
81,CC010081,true,,,-6.37948656585808,5271759024553984-5834708977975296,PT Tata Project,106.84570460238,,,Jl. Ir. H. Juanda,,,,
82,CC010082,true,,,-6.85620166666667,5145639960707072-5708589914128384,Pak Hamid  Bale Pare KBP,107.490578333333,,,Kota Baru Parahyangan,,,,
83,CC010083,true,,,-6.16191458422691,5243285471756288-5644979804307456,PT. Cipta Cita Yasa,106.827273946255,,,Jl. Sukarjo Wiryopranoto,,,,
84,CC010084,true,,,-6.892485,5377838609858560-5940788563279872,PT. Antenasri,107.53952639,,,Baros,,,,
